ID,SMILES,VALUE_p
1,CC(C)C1=CC(N2CCOCC2)=NN=C1C(=O)NC12CC3CC(CC(C3)C1)C2,6.402085529
2,CC(C)C1=CC(NCCO)=NN=C1C(=O)NC1CCCCC1,6.07473949
3,CC1=CC=C(CN2N=C(C(=O)NC3C4(C)CCC(C4)C3(C)C)C=C2C2=CC=C(Cl)C(C)=C2)C=C1,8.677780705
4,CC(C)C1=CC(C(=O)NC2C3CC4CC(C3)CC2C4)=NN=C1N1CCCCC1,5.461803422
5,O=C(NCC1=CC=CC=C1Cl)C1=NC2=CC=CC=C2S1,5.480040819
6,O=C(C1=NNC(C2=CC=CC=C2F)=C1)N1CCC(O)(C2=CC=CC=C2)C2CCCCC21,7.677780705
7,O=C(C1=CC=CC=C1)N1CCC(O)(C2=CC=CC(C(F)(F)F)=C2)C2CCCCC21,6.091514981
9,O=C(C1=CC=CC2=C1C=NN2)N1CCC(O)(C2=CC=CC=C2)C2CCCCC21,8.397940009
10,O=C(NCC1CCC1)C1=NC=CC=C1NC(=O)C1=CC=C(CN2C=CN=N2)C2=CC=CC=C12,7.187086643
11,NC(=O)C(NC(=O)C1=CC=C(C2CC2)C(OCC2CC2)=N1)C1=CC=CC=C1,7.63638802
12,CCC(CC)(NC(=O)C1=CC=C(C2CC2)C(OCC(F)(F)C(F)(F)F)=N1)C(=O)NC,7.847711656
13,CC(C)(C)C(NC(=O)C1=CC=C(N2CC(F)(F)C2)C(OCC2CC2)=N1)C(=O)N1CC(F)(F)C1,7.832682665
14,CN(C)C(=O)C(NC(=O)C1=CC=C(C2CC2)C(OCC2CC2)=N1)C1=CC=CC=C1,7.389339837
15,CNC(=O)C(CC(C)(C)C)NC(=O)C1=CC=C(C(F)(F)F)C(OCC2CCOCC2)=N1,7.53165267
16,CCCCCN1C(C(=O)NC(C(=O)OC)C(C)C)=CC2=CC=CC=C21,6.149997414
17,CCCCCN1C=C(C(=O)NC(C(N)=O)C(C)C)C2=CC=CN=C21,7.236572006
18,CCCCCN1C=C(C(=O)NC(C(=O)OC)C(C)C)C2=CC=CN=C21,7.840132153
19,CC1=NN=C(C2=CC=C(Cl)C=C2)C2=CN(C3=CC=CC=C3)N=C12,4.709965389
20,CCCOC1=CC=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12,7.045757491
22,CC(C)(NC(=O)C1=CC=CC(C2=CC=CC(Cl)=C2)=N1)C1=NOC=N1,7.484126156
23,COC1=CC=C(NC(=O)C2=CC=NC3=CC=CC=C23)C(C(=O)NCC2CCC2)=N1,7.0
24,CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)C=C1C1=CC=CC=C1,8.721246399
25,CCCCCN1C=C(C(=O)NC2=CC=CC(C(F)(F)F)=C2)C(=O)C=C1C1=CC=CC=C1,7.853871964
26,CCCCCCC(C)(C)C1=CC=C(C2CC(O)CCC2CCCO)C(O)=C1,8.214670165
27,CC(C)OCCN1C(=NC(=O)C2=CC=CC(C(F)(F)F)=C2F)C=C(C(C)(C)C)N1C,8.585026652
28,CN1C(C(C)(C)C)=CC(=NC(=O)C2=CC=CC(C(F)(F)F)=C2F)N1CC1CC1,8.744727495
29,CCS(=O)(=O)N1C2=C(CN(CC3CC3)C2)C2=CC(C(=O)N3CCC(C)CC3)=CC=C21,9.301029996
30,CCS(=O)(=O)N1C2=C(CN(C(C)C)C2)C2=CC(C(=O)N3CCC(C)CC3)=CC=C21,9.045757491
31,CCCCCN1C(=O)N(CC(=O)NCCCC)C(=O)C2=C(Cl)C=CC=C21,6.831502516
