ID,SMILES,VALUE_p
1,CCCN1CCC2=CC=CC3=C2C1CC1=CC=CC(OCCCCN2CCN(C4=CC=CC=C4OC)CC2)=C13,5.930331903
3,CN1CCC2=CC=CC=C2CC2=C(CC1)SC=C2,6.684029655
4,CN1CCC2=CC=CC=C2CC2=CC=C(O)C=C2CC1,9.408935393
5,CN1CCC2=CC=CC=C2CC2=C(CC1)N(C)C=C2,7.214670165
7,C1=CC=C2C(N3CCN(CCC4=CC=C5NN=NC5=C4)CC3)=CC=CC2=C1,5.239999953
8,CCCN1CCC2=CC=CC3=C2C1CC1=CC=CC(OCCCN2C=C(CCCCN4CCN(C5=CC=CC=C5OC)CC4)N=N2)=C13,5.721246399
9,CCCN1CCC2=CC=CC3=C2C1CC1=CC=CC(OCC2=CN(CCCN4CCN(C5=CC=CC(Cl)=C5Cl)CC4)N=N2)=C13,5.697452628
10,COC1=CC2=C3C(=C1OC1CC1)C1=CC(N)=CC=C1CC3N(C)CC2,5.954285941
11,O=C1NC2=CC=C(OCCN3CCN(C4=CC=CC=C4Cl)CC3)C=C2N1,6.392544977
12,CC1=CC(OC2=NC=CC(C)=C2F)=CC=C1C1=C(C)C(=O)NC(=O)N1C,7.441291429
13,CC1=CC2=C(NC3=CC=CC=C3N=C2N2CCNCC2)S1,6.692503962
14,COC1=CC=C2C(=C1)CCN1CC3=C(C=C(OC)C(OC)=C3OC)CC21,5.998387422
16,CN1CCC2=CC(I)=C(O)C=C2C(C2=CC=C(N=[N+]=[N-])C=C2)C1,7.552841969
18,CCCN(CCC1=CC=C(NC(S)=NC2=CC=C3C(=C2)C(=O)OC32C3=CC=C(O)C=C3OC3=CC(O)=CC=C32)C=C1)C1CCC2=C(O)C=CC=C2C1,6.585026652
19,OC1=CC=C(C2CNCCC3=C2C=C(O)C(O)=C3Cl)C=C1,7.397940009
20,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=C(NC(=O)NC4=C(Cl)C=CC=C4Cl)C=C3CCC21,9.15490196
21,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(NC(=O)C4CC4)=C3CCC21,8.244125144
22,CN1CCC2=CC=CC=C2CC2=C(CC1)C1=CC=CC=C1N2,7.218963061
24,CC(C)(C)C1=NC(N2CCN(CCCCNC(=O)C3=NN4C=CC=CC4=C3)CC2)=CC(C(F)(F)F)=N1,5.124938737
25,CN1CCC2=CC(O)=C(O)C=C2C(C2=CC=CC=C2Br)C1,7.226213555
28,COC1=CC=C2CC3=CC=CC=C3CCN(C)CCC2=C1,7.54515514
30,OC1(C2=CC=C(Cl)C(C(F)(F)F)=C2)CCN(CCCCN(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1,5.0
31,CC1=CC=CC=C1C(=O)NN1C2=CC=C(Cl)C=C2N=C(N2CCN(C)CC2)C2=CC(Cl)=CC=C21,8.698970004
32,CC1=CC=C(CN2CCN(C3=NC4=CC(Cl)=CC=C4N(NC(=O)C4=CC=CC=C4Cl)C4=CC=CC=C34)CC2)C(C)=C1,5.959793372
33,FC(F)(F)OC1=CC=CC(CN2CCN(C3=NC4=CC(Cl)=CC=C4NC4=CC=CC=C34)CC2)=C1,5.420330706
35,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(C(=O)NC3=CC(Cl)=CC(Cl)=C3)C3=CC=CC=C23)CC1,6.756961951
37,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C3CCC3)C3=CC=CC=C23)CC1,6.823908741
38,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)CCC3CCCC3)C3=CC=CC=C23)CC1,6.954677021
39,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C(F)(F)F)C3=CC=CC=C23)CC1,7.065501549
41,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C3=CC=CC=C3N3C=CN=C3)C3=CC=CC=C23)CC1,7.055517328
42,O=C(CCCN1CCC2(CC1)C(=O)NCN2C1=CC=CC=C1)C1=CC=C(F)C=C1,6.490797478
43,CC1=CC=CC(C2CN(CCCC3=CN(CCCN4CCN(C5=NC=CC=N5)CC4)N=N3)CCC3=CC(O)=C(O)C=C32)=C1,6.016373713
44,CCCN(CCCCNC(=O)C1=CC2=CC=CC=C2N1)CC1CC1C1=CC=C(Cl)C=C1,6.187755303
45,CCCN(CCCCNC(=O)C1=CC=C2C=CC=CC2=C1)CC1CC1C1=CC=CC(F)=C1,5.883392256
48,COC1=CC=CC=C1N1CCN(CCCCNC(=O)C2=CC3=CC=CC=C3S2)CC1,6.173925197
50,COC1=CC(CCNCCC2=CC=C(O)C3=C2OCC(=O)N3)=CC=C1OCCCC1=CC=CC=C1,6.017728767
51,CN1CCC2=CC=CC=C2CC2=C(C=CS2)CC1,7.22184875
53,CN1CC2C3=CC=CC=C3OC3=CC=C(Cl)C=C3C2C1,8.050609993
54,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C3=CC(F)=C(F)C(F)=C3F)C3=CC=CC=C23)CC1,7.494850022
55,CN(C)C(=O)NC1CCC(CCN2CCN(C3=CC=CC(Cl)=C3Cl)CC2)CC1,5.677780705
57,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC=C3CCC21,6.289882635
59,OC1=CC=C(C2CNC3CCC4=CC(O)=C(O)C=C4C3C2)C=C1,6.259637311
60,OC1=CC=C2C(=C1O)CC(C1=CC=CC=C1)C1CCNCC21,7.327902142
61,CN1CCC2=CC=CC=C2CC2=C(C=CC(O)=C2Cl)CC1,8.167491087
62,CC1=C(C2=CC=C(OC3=NC=CC4=C3C=CO4)C=C2)N2C=CN=C2C=C1,8.070581074
63,COC1=CC2=C(C=C1O)CN(CCCCNC(=O)C1=CC=C(I)C=C1)CC2,5.795880017
65,CC1=CC(OC2=NC=CC3=C2C=CO3)=CC=C1C1=CC=CC2=NC=CN12,7.419075024
67,C1=CC=C2SC(SSC3=NC4=CC=CC=C4S3)=NC2=C1,6.225483034
68,CC1=CC=CC(N2CCN(CCC3=CC=C4NN=NC4=C3)CC2)=C1C,5.330000131
70,CN1CCC2=CC(Br)=C(O)C=C2C(C2=CC=C(NC(S)=NC3=CC=C4C(=C3)C(=O)OC43C4=CC=C(O)C=C4OC4=CC(O)=CC=C43)C=C2)C1,7.795880017
73,OC1=CC2=C(C=C1O)C1C3=CC=CC=C3CNC1CC2,5.920818754
74,O=C(NCCCCN1CCN(C2=CC=CC(Cl)=C2Cl)CC1)C1=CC2=CC=CC=C2O1,5.537602002
75,OC1=CC2=C(CCNCC2C2=CC=CC=C2)C(Cl)=C1O,8.15490196
76,CC(C)C1(NC(=O)C2CC3C4=CC=CC5=C4C(=CN5)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O,6.229884705
77,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,4.853965037
78,NCC1OC(C23CC4CC(CC(C4)C2)C3)CC2=C1C=CC(O)=C2O,7.677780705
80,CCCC(CCC)C(=O)NN1C2=CC=C(Cl)C=C2N=C(N2CCN(C)CC2)C2=CC=CC=C21,7.591760035
81,CN1CCC2=CC=CC3=C2C1CC1=CC=C(O)C(O)=C13,8.337242168
82,CCCN(CCC1=CC=CC=C1)C1CCC2=C(O)C=CC=C2C1,6.638272164
83,CCCN1CCCC2CC3=C(C=NN3)CC21,3.279997898
84,OC1=CC=C2CCNCC(C3=CC=CC=C3)C2=C1,6.153662888
85,CN1CCN(C2=NC3=CC=CC=C3NC3=C2C=C(CO)S3)CC1,7.180456064
86,CN(C)C1C=CC2(CC1)C1=CC=CC=C1C=CC1=CC=C(Cl)C=C12,8.508638306
87,COC1=CC=CC=C1N1CCN(CCCN2C=C(CCCCN3CCC4=CC(O)=C(O)C=C4C(C4=CC=CC(C)=C4)C3)N=N2)CC1,6.841637508
89,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C21,6.254144805
90,CN1CCCC1CCOC(C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,6.115204636
92,CN1CCC2=CC=CC3=C2C1CC1=CC=C2N=C(N)SC2=C13,5.93930216
93,CCCCCCCCN1CCC(C2=CC=CC(O)=C2)C1,6.769551079
94,CN1CCC2=CC(SCC(N)C(=O)O)=CC3=C2C1CC1=CC=C(O)C(O)=C13,5.37675071
95,CN1CCC2=CC(SCCN)=CC3=C2C1CC1=CC=C(O)C(O)=C13,5.886056648
96,COC1=CC2=C(CN3CCC4=CC5=C(C=C4C3C2)OCO5)C(OC)=C1OC,6.42385453
98,CN1CCC2=CC=CC3=C2C1CC1=CC=CC(O)=C13,7.214670165
99,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(C4=CC=CC(OC(F)(F)F)=C4)=C3CCC21,8.638272164
100,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(C4=CC=NC=C4)=C3CCC21,9.522878745
101,COC1=CC2=C(C=C1O)C(C1=CC=CC=C1Cl)CN(C)CC2,7.853871964
102,CN1CCC2=CC=CC3=C2C1CC1=CC=C([N+](=O)[O-])C=C13,6.032452024
103,C1=CC=C2C(N3CCN(CCC4=CC=C5NCNC5=C4)CC3)=CC=CC2=C1,5.440000066
104,CC1(C2=CC=CC(OCC3=CC=CC=C3)=C2)C(=O)NC2=CC(Cl)=CC(Cl)=C2C1=O,6.920818754
105,C=CCN1CCC2=CC=C(O)C=C2C(C2=CC=CC=C2)C1,7.318758763
106,CCN(CC)C(=O)NC1C=C2C3=CC=CC4=C3C(=CN4)CC2N(C)C1,7.113509275
107,CC1=CC(OC2=NC=CC=C2C2CC2)=CC=C1C1=C(C)C(=O)NC(=O)N1C,8.507239611
108,CN1CCC2=C(Cl)C(O)=C(O)C(Cl)=C2C(C2=CC=CC=C2)C1,5.677780705
109,CC1=CC=CC(C2=C(O)C(O)=CC3=C2CCNCC3C2=CC=CC=C2)=C1,7.408935393
110,COC1=CC=C2C(=C1)CCN1CCC3=CC=CC=C3C21,5.674484337
111,CC1=CC2=C(NC3=CC=CC=C3N=C2N2CCN(C)CC2)S1,8.0
112,ClC1=CC=C2NC3=CC=CC=C3C(N3CCN(CC4=CC=CC5=C4OCO5)CC3)=NC2=C1,6.195860568
113,CC1=NC=NC(N2CC(F)C2)=C1C1=CC=C(OC2=NC=CC3=C2C=CN3)C=C1F,8.293282218
114,CC1=CC(OC2=NC=CC3=NNC=C23)=CC=C1N1C(C)=NC2=CN=CC=C21,6.571865206
115,[C-]#[N+]C1=CNC2=CC=NC(OC3=CC=C(C4=C(C)N=CN=C4C)C(C)=C3)=C12,8.337242168
116,CN1CCN2C3=C(C=CC=C31)C1CN(CCCC(=O)C3=CC=C(F)C=C3)CCC12,7.283996656
117,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C3=CC=CC=C3NC3CCCCC3)C3=CC=CC=C23)CC1,7.207608311
118,CN1CCN(C2=NC3=CC(Cl)=CC=C3N(NC(=O)C3=CC=CC(F)=C3)C3=CC=CC=C23)CC1,7.327902142
119,COC1=CC2=C(C=C1O)C1CC3=CC4=C(C=C3CN1CC2)OCO4,8.37675071
120,CN1CCC2=CC(C3=CC=CC=C3)=CC3=C2C1CC1=CC=C(O)C(O)=C13,7.055517328
122,O=C(NCCCCN1CCN(C2=CC=CC(Cl)=C2Cl)CC1)C1=CC2=CC=C1CCC1=CC=C(C=C1)CC2,5.552841969
123,CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C32)CC1,7.107905397
125,CCC1=C(C2=CC=C(OC3=NC=CC=C3C(F)F)C=C2C)N(C)C(=O)NC1=O,7.084600165
126,CC1=CC(OC2=NC=CC3=C2C=CN3)=CC=C1C1=C(C)C=NN=C1C,7.054039296
127,CNCCCC12CCC(C3=CC=CC=C31)C1=CC=CC=C12,6.395773947
128,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C21,7.017728767
129,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(C#N)=C3CCC21,8.552841969
130,CCON=CC1=CC=CC2=C1CCC1C2C2=CC(O)=C(Cl)C=C2CCN1C,8.744727495
131,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(C4=CC=CC(F)=C4)=C3CCC21,9.397940009
132,CN1CCC2=CC(Cl)=C(O)C=C2C2C3=CC=CC(C4=CC=CC([N+](=O)[O-])=C4)=C3CCC21,9.22184875
134,CN(C)C1=CC=C(C2=CC=CC3=C2CCC2C3C3=CC(O)=C(Cl)C=C3CCN2C)C=C1,9.15490196
137,CCS(=O)(=O)NC1=CC=C2C(=C1)CCC1C2C2=CC(O)=C(Cl)C=C2CCN1C,9.15490196
138,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,6.125518182
139,CN1CCC2=CC(OCCF)=CC3=C2C1CC1=CC=C(O)C(O)=C13,5.431798276
140,CCCN(CCNC(=O)N=NC1=CC(F)=C(F)C(F)=C1)C1CC2=CC=CC=C2C1,5.585026652
